i,x,y,x²,xy
1,4070.0,4338.0,16564900.0,17655660.0
2,4070.0,4426.0,16564900.0,18013820.0
3,4070.0,4523.0,16564900.0,18408610.0
4,4070.0,4552.0,16564900.0,18526640.0
5,4350.0,4571.0,18922500.0,19883850.0
6,4890.0,4679.0,23912100.0,22880310.0
7,4890.0,4726.0,23912100.0,23110140.0
8,5460.0,5104.0,29811600.0,27867840.0
9,5460.0,5153.0,29811600.0,28135380.0
10,5460.0,5221.0,29811600.0,28506660.0
11,5460.0,5298.0,29811600.0,28927080.0
12,5790.0,5705.0,33524100.0,33031950.0
13,5790.0,5783.0,33524100.0,33483570.0
Σ,63830.0,64079.0,319300900.0,318431510.0
